0,0x3F,0x20
2.8125,0x3F,0x21
5.625,0x3F,0x23
8.4375,0x3F,0x24
11.25,0x3F,0x26
14.0625,0x3E,0x27
16.875,0x3E,0x28
19.6875,0x3D,0x2A
22.5,0x3D,0x2B
25.3125,0x3C,0x2D
28.125,0x3C,0x2E
30.9375,0x3B,0x2F
33.75,0x3A,0x30
36.5625,0x39,0x31
39.375,0x38,0x33
42.1875,0x37,0x34
45,0x36,0x35
47.8125,0x35,0x36
50.625,0x34,0x37
53.4375,0x33,0x38
56.25,0x32,0x38
59.0625,0x30,0x39
61.875,0x2F,0x3A
64.6875,0x2E,0x3A
67.5,0x2C,0x3B
70.3125,0x2B,0x3C
73.125,0x2A,0x3C
75.9375,0x28,0x3C
78.75,0x27,0x3D
81.5625,0x25,0x3D
84.375,0x24,0x3D
87.1875,0x22,0x3D
90,0x21,0x3D
92.8125,0x01,0x3D
95.625,0x03,0x3D
98.4375,0x04,0x3D
101.25,0x06,0x3D
104.0625,0x07,0x3C
106.875,0x08,0x3C
109.6875,0x0A,0x3C
112.5,0x0B,0x3B
115.3125,0x0D,0x3A
118.125,0x0E,0x3A
120.9375,0x0F,0x39
123.75,0x11,0x38
126.5625,0x12,0x38
129.375,0x13,0x37
132.1875,0x14,0x36
135,0x16,0x35
137.8125,0x17,0x34
140.625,0x18,0x33
143.4375,0x19,0x31
146.25,0x19,0x30
149.0625,0x1A,0x2F
151.875,0x1B,0x2E
154.6875,0x1C,0x2D
157.5,0x1C,0x2B
160.3125,0x1D,0x2A
163.125,0x1E,0x28
165.9375,0x1E,0x27
168.75,0x1E,0x26
171.5625,0x1F,0x24
174.375,0x1F,0x23
177.1875,0x1F,0x21
180,0x1F,0x20
182.8125,0x1F,0x01
185.625,0x1F,0x03
188.4375,0x1F,0x04
191.25,0x1F,0x06
194.0625,0x1E,0x07
196.875,0x1E,0x08
199.6875,0x1D,0x0A
202.5,0x1D,0x0B
205.3125,0x1C,0x0D
208.125,0x1C,0x0E
210.9375,0x1B,0x0F
213.75,0x1A,0x10
216.5625,0x19,0x11
219.375,0x18,0x13
222.1875,0x17,0x14
225,0x16,0x15
227.8125,0x15,0x16
230.625,0x14,0x17
233.4375,0x13,0x18
236.25,0x12,0x18
239.0625,0x10,0x19
241.875,0x0F,0x1A
244.6875,0x0E,0x1A
247.5,0x0C,0x1B
250.3125,0x0B,0x1C
253.125,0x0A,0x1C
255.9375,0x08,0x1C
258.75,0x07,0x1D
261.5625,0x05,0x1D
264.375,0x04,0x1D
267.1875,0x02,0x1D
270,0x01,0x1D
272.8125,0x21,0x1D
275.625,0x23,0x1D
278.4375,0x24,0x1D
281.25,0x26,0x1D
284.0625,0x27,0x1C
286.875,0x28,0x1C
289.6875,0x2A,0x1C
292.5,0x2B,0x1B
295.3125,0x2D,0x1A
298.125,0x2E,0x1A
300.9375,0x2F,0x19
303.75,0x31,0x18
306.5625,0x32,0x18
309.375,0x33,0x17
312.1875,0x34,0x16
315,0x36,0x15
317.8125,0x37,0x14
320.625,0x38,0x13
323.4375,0x39,0x11
326.25,0x39,0x10
329.0625,0x3A,0x0F
331.875,0x3B,0x0E
334.6875,0x3C,0x0D
337.5,0x3C,0x0B
340.3125,0x3D,0x0A
343.125,0x3E,0x08
345.9375,0x3E,0x07
348.75,0x3E,0x06
351.5625,0x3F,0x04
354.375,0x3F,0x03
357.1875,0x3F,0x01
